"fixed","align-left","align-left href","align-left 2","align-left href 2","align-right","align-right 2","align-right 3","align-right 5"
"1113","Jordan Walker","https://www.fangraphs.com/players/jordan-walker/27475/stats","STL","https://www.fangraphs.com/teams/cardinals","202","-0.2","","-0.2"
"1114","Jorge Alfaro","https://www.fangraphs.com/players/jorge-alfaro/12180/stats","- - -","","37","-0.2","","-0.2"
"1115","Dinelson Lamet","https://www.fangraphs.com/players/dinelson-lamet/17186/stats","COL","https://www.fangraphs.com/teams/rockies","25.2","0.0","-0.2","-0.2"
"1116","Edward Olivares","https://www.fangraphs.com/players/edward-olivares/19698/stats","KCR","https://www.fangraphs.com/teams/royals","247","-0.2","","-0.2"
"1117","Taylor Clarke","https://www.fangraphs.com/players/taylor-clarke/17611/stats","KCR","https://www.fangraphs.com/teams/royals","37.2","0.0","-0.3","-0.3"
"1118","Amir Garrett","https://www.fangraphs.com/players/amir-garrett/14375/stats","KCR","https://www.fangraphs.com/teams/royals","24.1","0.0","-0.3","-0.3"
"1119","Terrin Vavra","https://www.fangraphs.com/players/terrin-vavra/24400/stats","BAL","https://www.fangraphs.com/teams/orioles","56","-0.3","","-0.3"
"1120","Gabriel Arias","https://www.fangraphs.com/players/gabriel-arias/22563/stats","CLE","https://www.fangraphs.com/teams/guardians","154","-0.3","","-0.3"
"1121","Tucupita Marcano","https://www.fangraphs.com/players/tucupita-marcano/22871/stats","PIT","https://www.fangraphs.com/teams/pirates","198","-0.3","","-0.3"
"1122","Chris Owings","https://www.fangraphs.com/players/chris-owings/10030/stats","PIT","https://www.fangraphs.com/teams/pirates","25","1.0","-0.3","-0.3"
"1123","Jacob Stallings","https://www.fangraphs.com/players/jacob-stallings/13723/stats","MIA","https://www.fangraphs.com/teams/marlins","144","4.0","-0.2","-0.3"
"1124","Michael Busch","https://www.fangraphs.com/players/michael-busch/26319/stats","LAD","https://www.fangraphs.com/teams/dodgers","51","-0.3","","-0.3"
"1125","Rafael Montero","https://www.fangraphs.com/players/rafael-montero/12760/stats","HOU","https://www.fangraphs.com/teams/astros","38.1","0.0","-0.3","-0.3"
"1126","Bligh Madris","https://www.fangraphs.com/players/bligh-madris/20054/stats","HOU","https://www.fangraphs.com/teams/astros","20","1.0","-0.2","-0.3"
"1127","Hunter Dozier","https://www.fangraphs.com/players/hunter-dozier/15117/stats","KCR","https://www.fangraphs.com/teams/royals","91","-0.3","","-0.3"
"1128","Javy Guerra","https://www.fangraphs.com/players/javy-guerra/17292/stats","- - -","","15.1","0.0","-0.3","-0.3"
"1129","Génesis Cabrera","https://www.fangraphs.com/players/genesis-cabrera/17490/stats","STL","https://www.fangraphs.com/teams/cardinals","30.2","0.0","-0.3","-0.3"
"1130","Joey Wentz","https://www.fangraphs.com/players/joey-wentz/19962/stats","DET","https://www.fangraphs.com/teams/tigers","71.2","0.0","-0.3","-0.3"
"1131","Jesús Aguilar","https://www.fangraphs.com/players/jesus-aguilar/11342/stats","OAK","https://www.fangraphs.com/teams/athletics","115","-0.3","","-0.3"
"1132","Edwin Ríos","https://www.fangraphs.com/players/edwin-rios/18316/stats","CHC","https://www.fangraphs.com/teams/cubs","34","-0.3","","-0.3"
"1133","Brice Turang","https://www.fangraphs.com/players/brice-turang/22186/stats","MIL","https://www.fangraphs.com/teams/brewers","219","-0.3","","-0.3"
"1134","Colten Brewer","https://www.fangraphs.com/players/colten-brewer/12997/stats","NYY","https://www.fangraphs.com/teams/yankees","8.1","0.0","-0.3","-0.3"
"1135","Peter Lambert","https://www.fangraphs.com/players/peter-lambert/17969/stats","COL","https://www.fangraphs.com/teams/rockies","34.1","0.0","-0.3","-0.3"
"1136","Zach Pop","https://www.fangraphs.com/players/zach-pop/20185/stats","TOR","https://www.fangraphs.com/teams/blue-jays","13.2","0.0","-0.3","-0.3"
"1137","Reiss Knehr","https://www.fangraphs.com/players/reiss-knehr/21541/stats","SDP","https://www.fangraphs.com/teams/padres","5.2","0.0","-0.3","-0.3"
"1138","Casey Schmitt","https://www.fangraphs.com/players/casey-schmitt/27577/stats","SFG","https://www.fangraphs.com/teams/giants","168","-0.3","","-0.3"
"1139","Franchy Cordero","https://www.fangraphs.com/players/franchy-cordero/14567/stats","NYY","https://www.fangraphs.com/teams/yankees","59","-0.3","","-0.3"
"1140","Gus Varland","https://www.fangraphs.com/players/gus-varland/24737/stats","MIL","https://www.fangraphs.com/teams/brewers","8.2","0.0","-0.3","-0.3"
"1141","TJ Hopkins","https://www.fangraphs.com/players/tj-hopkins/25482/stats","CIN","https://www.fangraphs.com/teams/reds","25","-0.3","","-0.3"
"1142","Tyler Stephenson","https://www.fangraphs.com/players/tyler-stephenson/17988/stats","CIN","https://www.fangraphs.com/teams/reds","344","-0.3","","-0.3"
"1143","Hanser Alberto","https://www.fangraphs.com/players/hanser-alberto/11902/stats","CHW","https://www.fangraphs.com/teams/white-sox","90","1.2","-0.2","-0.3"
"1144","Brent Honeywell","https://www.fangraphs.com/players/brent-honeywell/16466/stats","SDP","https://www.fangraphs.com/teams/padres","41.0","0.0","-0.3","-0.3"
"1145","Michael Soroka","https://www.fangraphs.com/players/mike-soroka/18383/stats","ATL","https://www.fangraphs.com/teams/braves","20.1","0.0","-0.3","-0.3"
"1146","Brad Boxberger","https://www.fangraphs.com/players/brad-boxberger/10133/stats","CHC","https://www.fangraphs.com/teams/cubs","14.2","0.0","-0.3","-0.3"
"1147","Tyler O'Neill","https://www.fangraphs.com/players/tyler-oneill/15711/stats","STL","https://www.fangraphs.com/teams/cardinals","99","-0.3","","-0.3"
"1148","Dylan Moore","https://www.fangraphs.com/players/dylan-moore/18042/stats","SEA","https://www.fangraphs.com/teams/mariners","30","-0.3","","-0.3"
"1149","Alek Manoah","https://www.fangraphs.com/players/alek-manoah/26410/stats","TOR","https://www.fangraphs.com/teams/blue-jays","64.0","0.0","-0.3","-0.3"
"1150","Grayson Rodriguez","https://www.fangraphs.com/players/grayson-rodriguez/24492/stats","BAL","https://www.fangraphs.com/teams/orioles","45.1","0.0","-0.3","-0.3"
"1151","Nick Allen","https://www.fangraphs.com/players/nick-allen/22277/stats","OAK","https://www.fangraphs.com/teams/athletics","124","-0.3","","-0.3"
"1152","Tommy Hunter","https://www.fangraphs.com/players/tommy-hunter/1157/stats","NYM","https://www.fangraphs.com/teams/mets","23.2","0.0","-0.3","-0.3"
"1153","Yonathan Daza","https://www.fangraphs.com/players/yonathan-daza/15794/stats","COL","https://www.fangraphs.com/teams/rockies","80","-0.3","","-0.3"
"1154","Nabil Crismatt","https://www.fangraphs.com/players/nabil-crismatt/17732/stats","SDP","https://www.fangraphs.com/teams/padres","11.0","0.0","-0.3","-0.3"
"1155","Brian Serven","https://www.fangraphs.com/players/brian-serven/19422/stats","COL","https://www.fangraphs.com/teams/rockies","23","-0.3","","-0.3"
"1156","Juan Yepez","https://www.fangraphs.com/players/juan-yepez/18400/stats","STL","https://www.fangraphs.com/teams/cardinals","46","-0.3","","-0.3"
"1157","Jorge Alcala","https://www.fangraphs.com/players/jorge-alcala/19459/stats","MIN","https://www.fangraphs.com/teams/twins","15.1","0.0","-0.3","-0.3"
"1158","Rodolfo Castro","https://www.fangraphs.com/players/rodolfo-castro/21987/stats","PIT","https://www.fangraphs.com/teams/pirates","224","-0.3","","-0.3"
"1159","Carlos Carrasco","https://www.fangraphs.com/players/carlos-carrasco/6632/stats","NYM","https://www.fangraphs.com/teams/mets","61.0","0.0","-0.3","-0.3"
"1160","Tim Hill","https://www.fangraphs.com/players/tim-hill/16814/stats","SDP","https://www.fangraphs.com/teams/padres","38.2","0.0","-0.3","-0.3"
"1161","Jose Barrero","https://www.fangraphs.com/players/jose-barrero/23378/stats","CIN","https://www.fangraphs.com/teams/reds","149","-0.3","","-0.3"
"1162","Cooper Hummel","https://www.fangraphs.com/players/cooper-hummel/19458/stats","SEA","https://www.fangraphs.com/teams/mariners","26","-0.3","","-0.3"
"1163","José Ruiz","https://www.fangraphs.com/players/jose-ruiz/14552/stats","- - -","","40.1","0.0","-0.3","-0.3"
"1164","Derek Hill","https://www.fangraphs.com/players/derek-hill/16947/stats","WSN","https://www.fangraphs.com/teams/nationals","50","-0.3","","-0.3"
"1165","Wandy Peralta","https://www.fangraphs.com/players/wandy-peralta/14295/stats","NYY","https://www.fangraphs.com/teams/yankees","34.1","0.0","-0.4","-0.4"
"1166","Kevin Smith","https://www.fangraphs.com/players/kevin-smith/20242/stats","OAK","https://www.fangraphs.com/teams/athletics","102","-0.4","","-0.4"
"1167","Dany Jiménez","https://www.fangraphs.com/players/dany-jimenez/21170/stats","OAK","https://www.fangraphs.com/teams/athletics","6.2","0.0","-0.4","-0.4"
"1168","Austin Voth","https://www.fangraphs.com/players/austin-voth/15047/stats","BAL","https://www.fangraphs.com/teams/orioles","31.0","0.0","-0.4","-0.4"
"1169","Rico Garcia","https://www.fangraphs.com/players/rico-garcia/20023/stats","OAK","https://www.fangraphs.com/teams/athletics","8.2","0.0","-0.4","-0.4"
"1170","Clint Frazier","https://www.fangraphs.com/players/jackson-frazier/15983/stats","CHW","https://www.fangraphs.com/teams/white-sox","76","-0.4","","-0.4"
"1171","Carson Kelly","https://www.fangraphs.com/players/carson-kelly/13620/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","46","1.0","-0.4","-0.4"
"1172","Jake Woodford","https://www.fangraphs.com/players/jake-woodford/18674/stats","STL","https://www.fangraphs.com/teams/cardinals","39.2","0.0","-0.4","-0.4"
"1173","Coco Montes","https://www.fangraphs.com/players/coco-montes/21547/stats","COL","https://www.fangraphs.com/teams/rockies","41","-0.4","","-0.4"
"1174","Jon Singleton","https://www.fangraphs.com/players/jon-singleton/10441/stats","MIL","https://www.fangraphs.com/teams/brewers","32","-0.4","","-0.4"
"1175","Myles Straw","https://www.fangraphs.com/players/myles-straw/17620/stats","CLE","https://www.fangraphs.com/teams/guardians","331","-0.4","","-0.4"
"1176","Ross Stripling","https://www.fangraphs.com/players/ross-stripling/13273/stats","SFG","https://www.fangraphs.com/teams/giants","41.0","0.0","-0.4","-0.4"
"1177","Lenyn Sosa","https://www.fangraphs.com/players/lenyn-sosa/22896/stats","CHW","https://www.fangraphs.com/teams/white-sox","70","-0.4","","-0.4"
"1178","Kyle Muller","https://www.fangraphs.com/players/kyle-muller/20167/stats","OAK","https://www.fangraphs.com/teams/athletics","52.0","0.0","-0.4","-0.4"
"1179","Mark Mathias","https://www.fangraphs.com/players/mark-mathias/18032/stats","PIT","https://www.fangraphs.com/teams/pirates","62","-0.4","","-0.4"
"1180","Jimmy Herget","https://www.fangraphs.com/players/jimmy-herget/17556/stats","LAA","https://www.fangraphs.com/teams/angels","15.2","0.0","-0.4","-0.4"
"1181","Nick Gordon","https://www.fangraphs.com/players/nick-gordon/16337/stats","MIN","https://www.fangraphs.com/teams/twins","93","-0.4","","-0.4"
"1182","Jeff Brigham","https://www.fangraphs.com/players/jeff-brigham/16631/stats","NYM","https://www.fangraphs.com/teams/mets","29.2","0.0","-0.4","-0.4"
"1183","Shea Langeliers","https://www.fangraphs.com/players/shea-langeliers/25816/stats","OAK","https://www.fangraphs.com/teams/athletics","293","-0.4","","-0.4"
"1184","James Karinchak","https://www.fangraphs.com/players/james-karinchak/20151/stats","CLE","https://www.fangraphs.com/teams/guardians","27.2","0.0","-0.4","-0.4"
"1185","Robbie Grossman","https://www.fangraphs.com/players/robbie-grossman/5254/stats","TEX","https://www.fangraphs.com/teams/rangers","262","-0.4","","-0.4"
"1186","Chase Anderson","https://www.fangraphs.com/players/chase-anderson/6895/stats","- - -","","49.2","0.0","-0.4","-0.4"
"1187","Garrett Acton","https://www.fangraphs.com/players/garrett-acton/27583/stats","OAK","https://www.fangraphs.com/teams/athletics","5.2","0.0","-0.4","-0.4"
"1188","Miles Mastrobuoni","https://www.fangraphs.com/players/miles-mastrobuoni/20017/stats","CHC","https://www.fangraphs.com/teams/cubs","76","0.1","-0.3","-0.4"
"1189","Madison Bumgarner","https://www.fangraphs.com/players/madison-bumgarner/5524/stats","ARI","https://www.fangraphs.com/teams/diamondbacks","16.2","0.0","-0.4","-0.4"
"1190","Kris Bryant","https://www.fangraphs.com/players/kris-bryant/15429/stats","COL","https://www.fangraphs.com/teams/rockies","248","-0.4","","-0.4"
"1191","Mark Vientos","https://www.fangraphs.com/players/mark-vientos/22184/stats","NYM","https://www.fangraphs.com/teams/mets","49","-0.4","","-0.4"
"1192","Eric Hosmer","https://www.fangraphs.com/players/eric-hosmer/3516/stats","CHC","https://www.fangraphs.com/teams/cubs","100","-0.4","","-0.4"
"1193","Jeurys Familia","https://www.fangraphs.com/players/jeurys-familia/5114/stats","OAK","https://www.fangraphs.com/teams/athletics","12.2","0.0","-0.4","-0.4"
