Steve Balboni All-Stars
Players with 10 or more seasons and less than 0.5 war per season.
2023-02-26 18:01:38.020
741 rows

Terry Shumpert            -0.15 14 (1990-2003) KCR,BOS,CHC,SDP,COL,TBD
Rafael Belliard            -0.1 17 (1982-1998) PIT,ATL
Erik Kratz                 -0.1 11 (2010-2020) PIT,PHI,KCR,TOR,HOU,NYY,MIL,TBR,SFG
Henry Blanco              -0.05 16 (1997-2013) LAD,COL,MIL,ATL,MIN,CHC,SDP,NYM,ARI,TOR,SEA
Jeanmar Gómez             -0.05 10 (2010-2019) CLE,PIT,PHI,CHW,TEX
Dwayne Henry              -0.05 11 (1984-1995) ATL,HOU,CIN,SEA,TEX,DET
Marty Perez               -0.05 10 (1969-1978) CAL,ATL,SFG,NYY,OAK
Raul Chavez                 0.0 11 (1996-2009) MON,SEA,HOU,BAL,PIT,TOR
Joe Ginsberg                0.0 13 (1948-1962) DET,CLE,BAL,KCA,CHW,BOS,NYM
T.J. McFarland              0.0 10 (2013-2022) BAL,ARI,STL,OAK
Gene Michael                0.0 10 (1966-1975) PIT,LAD,NYY,DET
Corky Miller                0.0 11 (2001-2013) CIN,MIN,BOS,ATL,CHW
Carlos Hernandez           0.05 10 (1990-2000) LAD,SDP,STL
Bryan Holaday              0.05 10 (2012-2021) DET,BOS,TEX,MIA,BAL,ARI
Larry Haney                 0.1 12 (1966-1978) BAL,SEP,OAK,STL,MIL
Walter Holke                0.1 11 (1914-1925) NYG,BSN,PHI,CIN
Trent Hubbard               0.1 10 (1994-2003) COL,SFG,CLE,LAD,BAL,ATL,KCR,SDP,CHC
Mark Lowe                   0.1 11 (2006-2016) SEA,TEX,LAA,CLE,TOR,DET
Pat Mahomes                 0.1 11 (1992-2003) MIN,NYM,TEX,CHC,PIT,BOS
Mike McNally                0.1 10 (1915-1925) BOS,NYY,WSH
Otto Miller                 0.1 13 (1910-1922) BRO
Jose Morales                0.1 10 (1973-1983) OAK,MON,MIN,BAL,LAD
Brayan Peña                0.15 11 (2005-2016) ATL,KCR,DET,CIN,STL
Damon Berryhill             0.2 10 (1987-1997) CHC,ATL,BOS,CIN,SFG
Jeff Mathis                 0.2 17 (2005-2021) LAA,TOR,MIA,ARI,TEX,ATL
Eduardo Núñez               0.2 11 (2010-2020) NYY,MIN,SFG,BOS,NYM
Grover Hartley             0.25 12 (1911-1934) NYG,SLB,BOS,CLE
Dane Iorg                  0.25 10 (1977-1986) PHI,STL,KCR,SDP
Mike LaCoss                0.25 14 (1978-1991) CIN,HOU,SFG,KCR
Tom Martin                 0.25 11 (1997-2007) HOU,CLE,NYM,LAD,ATL,COL,TBD
John Marzano               0.25 10 (1987-1998) BOS,TEX,SEA
Benny Bengough              0.3 10 (1923-1932) NYY,SLB
Dave Clark                  0.3 13 (1986-1998) CLE,CHC,KCR,PIT,LAD,HOU
Jesus Colome                0.3 10 (2001-2010) TBD,WSN,MIL,SEA
Quinton McCracken           0.3 12 (1995-2006) COL,TBD,MIN,ARI,SEA,CIN
Bobby Wilson                0.3 10 (2008-2019) LAA,ARI,TBR,TEX,DET,MIN
Chris Gimenez              0.35 10 (2009-2018) CLE,SEA,TBR,TEX,MIN,CHC
Danny Heep                 0.35 13 (1979-1991) HOU,NYM,LAD,BOS,ATL
Dickie Noles               0.35 11 (1979-1990) PHI,CHC,TEX,DET,CLE,BAL
Charley O'Leary            0.35 10 (1904-1913) DET,STL
Dave Roberts               0.35 10 (1972-1982) SDP,TEX,HOU,PHI
Jeff Torborg               0.35 10 (1964-1973) LAD,CAL
Daniel Descalso             0.4 10 (2010-2019) STL,COL,ARI,CHC
Roxy Walters                0.4 11 (1915-1925) NYY,BOS,CLE
Jimmy McAleer              0.45 11 (1889-1902) CLV,CLE,SLB
Mike Difelice               0.5 13 (1996-2008) STL,TBD,ARI,KCR,DET,CHC,NYM,TBR
Mike Kingery                0.5 10 (1986-1996) KCR,SEA,SFG,OAK,COL,PIT
Dewayne Wise                0.5 11 (2000-2013) TOR,ATL,CIN,CHW,FLA,NYY
Heath Hembree              0.55 10 (2013-2022) SFG,BOS,NYM,CIN,PHI,LAD,PIT
Tim Byrdak                  0.6 12 (1998-2013) KCR,DET,HOU,NYM,BAL
Ross Detwiler               0.6 14 (2007-2022) WSN,TEX,ATL,OAK,CLE,CHW,SDP,MIA,SEA,CIN
Felix Heredia               0.6 10 (1996-2005) FLA,CHC,TOR,CIN,NYY,NYM
Andy Kosco                  0.6 10 (1965-1974) MIN,NYY,LAD,MIL,BOS,CAL,CIN
Paul Mirabella              0.6 13 (1978-1990) SEA,MIL,TEX,NYY,TOR,BAL
Andrew Romine               0.6 11 (2010-2021) LAA,DET,SEA,TEX,CHC
Mike Phillips              0.65 11 (1973-1983) SFG,NYM,STL,SDP,MON
Jamie Quirk                0.65 18 (1975-1992) KCR,MIL,STL,CLE,CHW,OAK,NYY,BAL
Scott Service              0.65 12 (1988-2004) PHI,MON,COL,CIN,SFG,KCR,OAK,TOR,ARI
Harry Smith                0.65 10 (1901-1910) PHA,PIT,BSN
Matt Whiteside             0.65 11 (1992-2005) TEX,PHI,SDP,ATL,TOR
Jesus Alou                 0.75 15 (1963-1979) SFG,HOU,OAK,NYM
Buddy Bradford             0.75 11 (1966-1976) CHW,CLE,CIN,STL
Josias Manzanillo          0.75 11 (1991-2004) NYM,MIL,NYY,SEA,PIT,CIN,FLA,BOS
Ivan Murrell               0.75 10 (1963-1974) HOU,SDP,ATL
Tom Prince                 0.75 17 (1987-2003) PIT,LAD,PHI,MIN,KCR
Steve Balboni               0.8 11 (1981-1993) NYY,KCR,SEA,TEX
Eric Gunderson              0.8 10 (1990-2000) SFG,NYM,BOS,TEX,SEA,TOR
Javier Valentin             0.8 10 (1997-2008) MIN,TBD,CIN
Max Venable                 0.8 12 (1979-1991) SFG,MON,CIN,CAL
Abraham Nunez              0.85 11 (1997-2007) PIT,STL,PHI
Ehire Adrianza              0.9 10 (2013-2022) SFG,MIN,ATL,WSN
Joe Astroth                 0.9 10 (1945-1956) PHA,KCA
